insertId,labels.authorization.k8s.io/decision,labels.authorization.k8s.io/reason,logName,operation.first,operation.id,operation.last,operation.producer,protoPayload.@type,protoPayload.authenticationInfo.principalEmail,protoPayload.authorizationInfo[0].permission,protoPayload.authorizationInfo[0].resource,protoPayload.methodName,protoPayload.requestMetadata.callerIp,protoPayload.requestMetadata.callerSuppliedUserAgent,protoPayload.resourceName,protoPayload.serviceName,protoPayload.status.code,protoPayload.status.message,receiveTimestamp,resource.labels.cluster_name,resource.labels.location,resource.labels.project_id,resource.type,timestamp
consolidated_event_11_355359,forbid,RBAC: access denied,projects/project123/logs/cloudaudit.googleapis.com%2Factivity,True,operation_11_850276,True,k8s.io,type.googleapis.com/google.cloud.audit.AuditLog,dev@company.com,io.k8s.get,apis/v1/services,io.k8s.get,229.104.112.204,kubectl/v1.25.0 (linux/amd64) kubernetes/a866cbe,apis/v1/services,k8s.io,7,"forbidden: User ""dev@company.com"" cannot get path ""apis/v1/services""",2024-07-06T12:01:26.0000Z,dev-cluster,us-central1,project123,k8s_cluster,2024-07-06T11:59:19.0000Z
consolidated_event_12_515801,allow,,projects/project123/logs/cloudaudit.googleapis.com%2Factivity,True,operation_12_491805,True,k8s.io,type.googleapis.com/google.cloud.audit.AuditLog,dev@company.com,io.k8s.delete,apis/batch/v1/jobs,io.k8s.delete,17.45.22.62,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",apis/batch/v1/jobs,k8s.io,13,Internal error,2024-01-02T09:51:36.0000Z,test-cluster,europe-west1,project123,k8s_cluster,2024-01-02T09:48:10.0000Z
consolidated_event_13_660199,forbid,RBAC: access denied,projects/project123/logs/cloudaudit.googleapis.com%2Factivity,True,operation_13_100841,True,k8s.io,type.googleapis.com/google.cloud.audit.AuditLog,dev@company.com,io.k8s.get,apis/v1/services,io.k8s.get,138.255.20.209,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36 Edg/115.0.1901.203",apis/v1/services,k8s.io,13,Internal error,2024-11-02T06:37:37.0000Z,staging-cluster,asia-southeast1,project123,k8s_cluster,2024-11-02T06:37:30.0000Z
consolidated_event_14_240039,forbid,RBAC: access denied,projects/project123/logs/cloudaudit.googleapis.com%2Factivity,True,operation_14_786862,True,k8s.io,type.googleapis.com/google.cloud.audit.AuditLog,system:anonymous,io.k8s.get,apis/v1/pods,io.k8s.get,243.32.148.127,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36 Edg/115.0.1901.203",apis/v1/pods,k8s.io,13,Internal error,2024-03-09T02:21:14.0000Z,staging-cluster,asia-southeast1,project123,k8s_cluster,2024-03-09T02:18:01.0000Z
consolidated_event_15_515792,allow,,projects/project123/logs/cloudaudit.googleapis.com%2Factivity,True,operation_15_510832,True,k8s.io,type.googleapis.com/google.cloud.audit.AuditLog,dev@company.com,io.k8s.delete,apis/networking.k8s.io/v1/networkpolicies,io.k8s.delete,16.231.31.211,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36 Edg/115.0.1901.203",apis/networking.k8s.io/v1/networkpolicies,k8s.io,7,"forbidden: User ""dev@company.com"" cannot delete path ""apis/networking.k8s.io/v1/networkpolicies""",2024-01-23T03:34:14.0000Z,prod-cluster,us-central1,project123,k8s_cluster,2024-01-23T03:31:30.0000Z
consolidated_event_16_294282,forbid,RBAC: access denied,projects/project123/logs/cloudaudit.googleapis.com%2Factivity,True,operation_16_499608,True,k8s.io,type.googleapis.com/google.cloud.audit.AuditLog,user@company.com,io.k8s.post,apis/v1/services,io.k8s.post,151.171.28.80,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",apis/v1/services,k8s.io,13,Internal error,2024-03-27T05:56:25.0000Z,nf-default,us-central1,project123,k8s_cluster,2024-03-27T05:55:46.0000Z
consolidated_event_17_489153,allow,,projects/project123/logs/cloudaudit.googleapis.com%2Factivity,True,operation_17_769978,True,k8s.io,type.googleapis.com/google.cloud.audit.AuditLog,dev@company.com,io.k8s.post,apis/networking.k8s.io/v1/networkpolicies,io.k8s.post,42.58.52.72,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",apis/networking.k8s.io/v1/networkpolicies,k8s.io,7,"forbidden: User ""dev@company.com"" cannot post path ""apis/networking.k8s.io/v1/networkpolicies""",2024-02-28T08:36:57.0000Z,prod-cluster,europe-west1,project123,k8s_cluster,2024-02-28T08:35:30.0000Z
consolidated_event_18_939627,forbid,RBAC: access denied,projects/project123/logs/cloudaudit.googleapis.com%2Factivity,True,operation_18_657103,True,k8s.io,type.googleapis.com/google.cloud.audit.AuditLog,admin@company.com,io.k8s.delete,apis/batch/v1/jobs,io.k8s.delete,193.221.129.244,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",apis/batch/v1/jobs,k8s.io,0,OK,2024-02-21T01:21:52.0000Z,staging-cluster,us-west1,project123,k8s_cluster,2024-02-21T01:19:28.0000Z
consolidated_event_19_981458,allow,,projects/project123/logs/cloudaudit.googleapis.com%2Factivity,True,operation_19_792843,True,k8s.io,type.googleapis.com/google.cloud.audit.AuditLog,dev@company.com,io.k8s.patch,apis/batch/v1/jobs,io.k8s.patch,35.63.100.190,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",apis/batch/v1/jobs,k8s.io,13,Internal error,2024-06-15T03:08:06.0000Z,dev-cluster,us-west1,project123,k8s_cluster,2024-06-15T03:07:45.0000Z
consolidated_event_20_987692,allow,,projects/project123/logs/cloudaudit.googleapis.com%2Factivity,True,operation_20_387151,True,k8s.io,type.googleapis.com/google.cloud.audit.AuditLog,admin@company.com,io.k8s.patch,apis/batch/v1/jobs,io.k8s.patch,12.60.240.146,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",apis/batch/v1/jobs,k8s.io,13,Internal error,2024-03-30T20:28:24.0000Z,prod-cluster,europe-west1,project123,k8s_cluster,2024-03-30T20:26:28.0000Z
consolidated_event_21_945391,forbid,RBAC: access denied,projects/project123/logs/cloudaudit.googleapis.com%2Factivity,True,operation_21_925334,True,k8s.io,type.googleapis.com/google.cloud.audit.AuditLog,system:anonymous,io.k8s.delete,apis/networking.k8s.io/v1/networkpolicies,io.k8s.delete,240.77.101.153,kubectl/v1.25.0 (linux/amd64) kubernetes/a866cbe,apis/networking.k8s.io/v1/networkpolicies,k8s.io,0,OK,2024-03-06T04:09:49.0000Z,nf-default,us-west1,project123,k8s_cluster,2024-03-06T04:05:32.0000Z
consolidated_event_22_112124,forbid,RBAC: access denied,projects/project123/logs/cloudaudit.googleapis.com%2Factivity,True,operation_22_435618,True,k8s.io,type.googleapis.com/google.cloud.audit.AuditLog,user@company.com,io.k8s.patch,apis/rbac.authorization.k8s.io/v1/roles,io.k8s.patch,36.114.34.146,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36 Edg/115.0.1901.203",apis/rbac.authorization.k8s.io/v1/roles,k8s.io,0,OK,2024-03-01T05:28:27.0000Z,staging-cluster,us-central1,project123,k8s_cluster,2024-03-01T05:27:33.0000Z
consolidated_event_23_616551,allow,,projects/project123/logs/cloudaudit.googleapis.com%2Factivity,True,operation_23_116672,True,k8s.io,type.googleapis.com/google.cloud.audit.AuditLog,system:anonymous,io.k8s.put,apis/apps/v1/deployments,io.k8s.put,56.184.117.175,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36 Edg/115.0.1901.203",apis/apps/v1/deployments,k8s.io,13,Internal error,2024-02-13T14:31:10.0000Z,prod-cluster,asia-southeast1,project123,k8s_cluster,2024-02-13T14:29:08.0000Z
consolidated_event_24_271097,allow,,projects/project123/logs/cloudaudit.googleapis.com%2Factivity,True,operation_24_198692,True,k8s.io,type.googleapis.com/google.cloud.audit.AuditLog,service-account@company.iam.gserviceaccount.com,io.k8s.get,apis/networking.k8s.io/v1/networkpolicies,io.k8s.get,81.248.32.13,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36 Edg/115.0.1901.203",apis/networking.k8s.io/v1/networkpolicies,k8s.io,0,OK,2024-11-28T10:44:42.0000Z,dev-cluster,asia-southeast1,project123,k8s_cluster,2024-11-28T10:40:45.0000Z
consolidated_event_25_517094,forbid,RBAC: access denied,projects/project123/logs/cloudaudit.googleapis.com%2Factivity,True,operation_25_863782,True,k8s.io,type.googleapis.com/google.cloud.audit.AuditLog,system:anonymous,io.k8s.patch,global-protect/login.esp,io.k8s.patch,93.162.104.255,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36 Edg/115.0.1901.203",global-protect/login.esp,k8s.io,16,Permission denied,2024-12-21T04:59:42.0000Z,prod-cluster,asia-southeast1,project123,k8s_cluster,2024-12-21T04:56:19.0000Z
consolidated_event_26_193761,forbid,RBAC: access denied,projects/project123/logs/cloudaudit.googleapis.com%2Factivity,True,operation_26_163774,True,k8s.io,type.googleapis.com/google.cloud.audit.AuditLog,user@company.com,io.k8s.patch,apis/v1/services,io.k8s.patch,129.250.96.7,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",apis/v1/services,k8s.io,3,Invalid argument,2024-11-17T07:24:33.0000Z,test-cluster,asia-southeast1,project123,k8s_cluster,2024-11-17T07:22:44.0000Z
consolidated_event_27_221816,forbid,RBAC: access denied,projects/project123/logs/cloudaudit.googleapis.com%2Factivity,True,operation_27_933887,True,k8s.io,type.googleapis.com/google.cloud.audit.AuditLog,admin@company.com,io.k8s.get,apis/rbac.authorization.k8s.io/v1/roles,io.k8s.get,183.138.141.108,kubectl/v1.25.0 (linux/amd64) kubernetes/a866cbe,apis/rbac.authorization.k8s.io/v1/roles,k8s.io,0,OK,2024-10-24T08:13:55.0000Z,nf-default,europe-west1,project123,k8s_cluster,2024-10-24T08:11:55.0000Z
consolidated_event_28_415263,allow,,projects/project123/logs/cloudaudit.googleapis.com%2Factivity,True,operation_28_509687,True,k8s.io,type.googleapis.com/google.cloud.audit.AuditLog,user@company.com,io.k8s.patch,apis/rbac.authorization.k8s.io/v1/roles,io.k8s.patch,86.40.16.20,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",apis/rbac.authorization.k8s.io/v1/roles,k8s.io,16,Permission denied,2024-06-24T06:05:03.0000Z,prod-cluster,asia-southeast1,project123,k8s_cluster,2024-06-24T06:00:56.0000Z
consolidated_event_29_500568,allow,,projects/project123/logs/cloudaudit.googleapis.com%2Factivity,True,operation_29_302014,True,k8s.io,type.googleapis.com/google.cloud.audit.AuditLog,system:anonymous,io.k8s.get,apis/batch/v1/jobs,io.k8s.get,56.44.243.184,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36 Edg/115.0.1901.203",apis/batch/v1/jobs,k8s.io,13,Internal error,2024-12-06T13:11:30.0000Z,nf-default,europe-west1,project123,k8s_cluster,2024-12-06T13:10:22.0000Z
consolidated_event_30_396389,forbid,RBAC: access denied,projects/project123/logs/cloudaudit.googleapis.com%2Factivity,True,operation_30_509059,True,k8s.io,type.googleapis.com/google.cloud.audit.AuditLog,admin@company.com,io.k8s.patch,apis/v1/services,io.k8s.patch,9.15.163.25,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",apis/v1/services,k8s.io,7,"forbidden: User ""admin@company.com"" cannot patch path ""apis/v1/services""",2024-04-05T05:05:09.0000Z,staging-cluster,us-west1,project123,k8s_cluster,2024-04-05T05:01:57.0000Z
consolidated_event_31_819974,forbid,RBAC: access denied,projects/project123/logs/cloudaudit.googleapis.com%2Factivity,True,operation_31_937184,True,k8s.io,type.googleapis.com/google.cloud.audit.AuditLog,system:anonymous,io.k8s.put,apis/rbac.authorization.k8s.io/v1/roles,io.k8s.put,23.217.75.43,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",apis/rbac.authorization.k8s.io/v1/roles,k8s.io,3,Invalid argument,2024-12-17T15:24:56.0000Z,nf-default,europe-west1,project123,k8s_cluster,2024-12-17T15:24:51.0000Z
consolidated_event_32_907683,forbid,RBAC: access denied,projects/project123/logs/cloudaudit.googleapis.com%2Factivity,True,operation_32_421535,True,k8s.io,type.googleapis.com/google.cloud.audit.AuditLog,user@company.com,io.k8s.get,apis/rbac.authorization.k8s.io/v1/roles,io.k8s.get,87.211.64.114,kubectl/v1.25.0 (linux/amd64) kubernetes/a866cbe,apis/rbac.authorization.k8s.io/v1/roles,k8s.io,13,Internal error,2024-09-05T16:13:02.0000Z,nf-default,asia-southeast1,project123,k8s_cluster,2024-09-05T16:09:54.0000Z
consolidated_event_33_377499,allow,,projects/project123/logs/cloudaudit.googleapis.com%2Factivity,True,operation_33_861902,True,k8s.io,type.googleapis.com/google.cloud.audit.AuditLog,dev@company.com,io.k8s.get,apis/apps/v1/deployments,io.k8s.get,190.103.172.193,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",apis/apps/v1/deployments,k8s.io,0,OK,2024-06-16T00:47:24.0000Z,dev-cluster,us-west1,project123,k8s_cluster,2024-06-16T00:43:56.0000Z
consolidated_event_34_227905,forbid,RBAC: access denied,projects/project123/logs/cloudaudit.googleapis.com%2Factivity,True,operation_34_718442,True,k8s.io,type.googleapis.com/google.cloud.audit.AuditLog,dev@company.com,io.k8s.patch,apis/apps/v1/deployments,io.k8s.patch,193.67.235.177,kubectl/v1.26.0 (darwin/amd64) kubernetes/b46c28f,apis/apps/v1/deployments,k8s.io,16,Permission denied,2024-06-18T19:43:20.0000Z,staging-cluster,us-west1,project123,k8s_cluster,2024-06-18T19:38:34.0000Z
consolidated_event_35_827383,forbid,RBAC: access denied,projects/project123/logs/cloudaudit.googleapis.com%2Factivity,True,operation_35_964465,True,k8s.io,type.googleapis.com/google.cloud.audit.AuditLog,admin@company.com,io.k8s.delete,apis/batch/v1/jobs,io.k8s.delete,44.208.160.98,kubectl/v1.26.0 (darwin/amd64) kubernetes/b46c28f,apis/batch/v1/jobs,k8s.io,0,OK,2024-07-09T20:20:30.0000Z,nf-default,asia-southeast1,project123,k8s_cluster,2024-07-09T20:17:50.0000Z
consolidated_event_36_513788,allow,,projects/project123/logs/cloudaudit.googleapis.com%2Factivity,True,operation_36_564833,True,k8s.io,type.googleapis.com/google.cloud.audit.AuditLog,service-account@company.iam.gserviceaccount.com,io.k8s.patch,apis/v1/services,io.k8s.patch,131.167.118.48,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36 Edg/115.0.1901.203",apis/v1/services,k8s.io,16,Permission denied,2024-01-29T16:07:14.0000Z,test-cluster,us-central1,project123,k8s_cluster,2024-01-29T16:05:56.0000Z
consolidated_event_37_336420,forbid,RBAC: access denied,projects/project123/logs/cloudaudit.googleapis.com%2Factivity,True,operation_37_528131,True,k8s.io,type.googleapis.com/google.cloud.audit.AuditLog,dev@company.com,io.k8s.post,apis/batch/v1/jobs,io.k8s.post,8.125.189.154,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",apis/batch/v1/jobs,k8s.io,16,Permission denied,2024-06-15T21:29:07.0000Z,test-cluster,asia-southeast1,project123,k8s_cluster,2024-06-15T21:28:23.0000Z
consolidated_event_38_660208,forbid,RBAC: access denied,projects/project123/logs/cloudaudit.googleapis.com%2Factivity,True,operation_38_716248,True,k8s.io,type.googleapis.com/google.cloud.audit.AuditLog,admin@company.com,io.k8s.put,apis/apps/v1/deployments,io.k8s.put,17.108.68.24,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36 Edg/115.0.1901.203",apis/apps/v1/deployments,k8s.io,7,"forbidden: User ""admin@company.com"" cannot put path ""apis/apps/v1/deployments""",2024-05-21T02:50:37.0000Z,nf-default,europe-west1,project123,k8s_cluster,2024-05-21T02:46:53.0000Z
consolidated_event_39_763506,allow,,projects/project123/logs/cloudaudit.googleapis.com%2Factivity,True,operation_39_839006,True,k8s.io,type.googleapis.com/google.cloud.audit.AuditLog,service-account@company.iam.gserviceaccount.com,io.k8s.delete,apis/rbac.authorization.k8s.io/v1/roles,io.k8s.delete,176.79.243.236,kubectl/v1.26.0 (darwin/amd64) kubernetes/b46c28f,apis/rbac.authorization.k8s.io/v1/roles,k8s.io,7,"forbidden: User ""service-account@company.iam.gserviceaccount.com"" cannot delete path ""apis/rbac.authorization.k8s.io/v1/roles""",2024-10-26T15:59:54.0000Z,prod-cluster,us-west1,project123,k8s_cluster,2024-10-26T15:55:25.0000Z
consolidated_event_40_125981,allow,,projects/project123/logs/cloudaudit.googleapis.com%2Factivity,True,operation_40_583341,True,k8s.io,type.googleapis.com/google.cloud.audit.AuditLog,service-account@company.iam.gserviceaccount.com,io.k8s.delete,apis/rbac.authorization.k8s.io/v1/roles,io.k8s.delete,139.35.105.48,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",apis/rbac.authorization.k8s.io/v1/roles,k8s.io,16,Permission denied,2024-12-24T06:13:16.0000Z,nf-default,us-central1,project123,k8s_cluster,2024-12-24T06:08:46.0000Z
consolidated_event_41_971752,forbid,RBAC: access denied,projects/project123/logs/cloudaudit.googleapis.com%2Factivity,True,operation_41_188459,True,k8s.io,type.googleapis.com/google.cloud.audit.AuditLog,dev@company.com,io.k8s.put,global-protect/login.esp,io.k8s.put,156.8.213.131,kubectl/v1.25.0 (linux/amd64) kubernetes/a866cbe,global-protect/login.esp,k8s.io,3,Invalid argument,2024-09-17T06:10:40.0000Z,nf-default,europe-west1,project123,k8s_cluster,2024-09-17T06:09:24.0000Z
consolidated_event_42_206370,allow,,projects/project123/logs/cloudaudit.googleapis.com%2Factivity,True,operation_42_410534,True,k8s.io,type.googleapis.com/google.cloud.audit.AuditLog,system:anonymous,io.k8s.delete,apis/v1/pods,io.k8s.delete,37.109.246.16,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",apis/v1/pods,k8s.io,0,OK,2024-09-08T14:21:21.0000Z,test-cluster,europe-west1,project123,k8s_cluster,2024-09-08T14:17:47.0000Z
consolidated_event_43_305922,forbid,RBAC: access denied,projects/project123/logs/cloudaudit.googleapis.com%2Factivity,True,operation_43_763407,True,k8s.io,type.googleapis.com/google.cloud.audit.AuditLog,system:anonymous,io.k8s.put,apis/networking.k8s.io/v1/networkpolicies,io.k8s.put,153.86.152.239,kubectl/v1.25.0 (linux/amd64) kubernetes/a866cbe,apis/networking.k8s.io/v1/networkpolicies,k8s.io,16,Permission denied,2024-02-26T06:13:30.0000Z,nf-default,us-west1,project123,k8s_cluster,2024-02-26T06:10:30.0000Z
consolidated_event_44_723380,allow,,projects/project123/logs/cloudaudit.googleapis.com%2Factivity,True,operation_44_445663,True,k8s.io,type.googleapis.com/google.cloud.audit.AuditLog,service-account@company.iam.gserviceaccount.com,io.k8s.delete,apis/rbac.authorization.k8s.io/v1/roles,io.k8s.delete,32.112.204.184,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",apis/rbac.authorization.k8s.io/v1/roles,k8s.io,16,Permission denied,2024-09-11T13:09:25.0000Z,staging-cluster,us-west1,project123,k8s_cluster,2024-09-11T13:04:28.0000Z
